Date,Open,High,Low,Close,Volume,Amount
2025-03-06,2574,2584,2566,2576,609600,1570427082
2025-03-07,2553,2575,2541,2563,567200,1454005845
2025-03-10,2555,2580,2550,2570,435700,1119918876
2025-03-11,2517,2548,2506,2538,399000,1012502439
2025-03-12,2553,2580,2542,2575,401600,1034047739
2025-03-13,2598,2600,2561,2574,427300,1099716326
2025-03-14,2565,2577,2559,2566,362300,929792267
2025-03-17,2588,2611,2588,2611,396600,1035399631
2025-03-18,2627,2639,2607,2612,555500,1451154919
2025-03-19,2613,2643,2613,2629,653300,1717277523
2025-03-20,2648,2651,2629,2637,455000,1199880544
2025-03-21,2634,2646,2618,2643,497500,1314957117
2025-03-24,2636,2649,2629,2632,372400,980182893
2025-03-25,2653,2655,2613,2616,439300,1149125359
2025-03-26,2628,2649,2618,2644,507900,1342857096
2025-03-27,2620,2633,2603,2607,403300,1051463556
2025-03-28,2593,2593,2549,2558,513600,1313778518
2025-03-31,2513,2514,2479,2481,391600,971606638
2025-04-01,2511,2531,2494,2521,453400,1143198177
2025-04-02,2526,2532,2500,2506,515600,1292021471
2025-04-03,2437,2489,2437,2487,480100,1193864647
2025-04-04,2450,2507,2438,2465,695100,1713713388
2025-04-07,2359,2369,2327,2328,619500,1442319870
2025-04-08,2381,2381,2329,2334,557000,1300166099
2025-04-09,2330,2338,2285,2294,699600,1604672486
2025-04-10,2395,2445,2391,2445,670400,1639168263
2025-04-11,2401,2433,2394,2433,369700,899376573
2025-04-14,2454,2466,2449,2456,488600,1199947802
2025-04-15,2465,2483,2461,2477,560300,1388092774
2025-04-16,2473,2476,2443,2447,613200,1500764034
2025-04-17,2452,2473,2447,2470,601700,1486445644
2025-04-18,2473,2486,2467,2483,451000,1120022385
2025-04-21,2486,2499,2479,2488,429000,1067532146
2025-04-22,2481,2495,2476,2487,416700,1036182843
2025-04-23,2521,2527,2507,2526,538100,1359003868
2025-04-24,2525,2531,2507,2522,327900,827072033
2025-04-25,2545,2553,2535,2546,403500,1027432070
2025-04-28,2551,2559,2542,2549,454100,1157437375
2025-04-29,2550,2571,2542,2565,547100,1403541239
2025-04-30,2561,2571,2544,2557,487500,1246347427
2025-05-02,2557,2567,2541,2560,585500,1498757068
2025-05-07,2577,2582,2559,2574,546800,1407353867
2025-05-08,2581,2591,2576,2579,471600,1216482759
2025-05-09,2588,2590,2571,2577,485600,1251522321
2025-05-12,2594,2607,2586,2607,409700,1068223133
2025-05-13,2602,2621,2602,2608,422500,1102057417
2025-05-14,2625,2646,2619,2641,390500,1031142612
2025-05-15,2635,2644,2618,2621,339600,890213892
2025-05-16,2631,2634,2619,2627,359700,944885181
2025-05-19,2614,2619,2593,2603,313300,815651462
2025-05-20,2623,2623,2598,2602,457000,1189022622
2025-05-21,2616,2633,2615,2626,371500,975402999
2025-05-22,2615,2617,2588,2594,358100,928793199
2025-05-23,2604,2604,2590,2592,434000,1124967098
2025-05-26,2598,2644,2596,2644,380200,1005400843
2025-05-27,2630,2643,2626,2637,318300,839427117
2025-05-28,2649,2692,2644,2670,405500,1082745785
2025-05-29,2691,2721,2687,2721,448300,1219662864
2025-05-30,2713,2718,2690,2698,525700,1418165078
2025-06-02,2693,2720,2685,2699,323600,873386683
2025-06-04,2738,2771,2734,2771,489900,1357434559
2025-06-05,2790,2831,2788,2812,556000,1563499827
2025-06-09,2842,2867,2841,2856,537600,1535261963
2025-06-10,2873,2886,2850,2872,508200,1459474220
2025-06-11,2887,2908,2880,2907,393900,1145083071
